,MJOPhase_OLR,MJOLongitude_OLR,MJOAmplitude_OLR,MJOPhase_Chi200,MJOLongitude_Chi200,MJOAmplitude_Chi200
1980-01-01,5,148.6,0.6049,5,175.4,0.5459
1980-01-02,5,164.0,0.6069,6,187.0,0.7355
1980-01-03,5,176.0,0.5613,6,198.4,0.6891
1980-01-04,6,185.2,0.6842,6,191.3,0.7448
1980-01-05,6,199.9,0.8435,6,215.7,0.8425
1980-01-06,6,203.3,1.0925,6,220.6,1.1503
1980-01-07,6,198.4,1.0085,6,223.5,1.308
1980-01-08,6,191.3,0.6414,6,219.5,0.7656
1980-01-09,6,195.2,0.4999,7,246.4,0.8656
1980-01-10,6,188.4,0.47,7,250.2,0.8477
1980-01-11,6,201.6,0.3725,7,269.5,0.809
1980-01-12,7,268.8,0.1387,8,281.6,0.8336
1980-01-13,2,21.4,0.1655,8,308.7,0.6566
1980-01-14,1,358.1,0.603,1,323.9,1.0868
1980-01-15,2,12.8,0.8311,1,340.0,0.9501
1980-01-16,2,22.1,1.0754,1,356.5,1.0764
1980-01-17,2,27.2,1.2639,2,6.5,1.297
1980-01-18,2,23.5,1.1226,2,5.6,1.2182
1980-01-19,2,17.9,0.8344,2,11.1,0.9057
1980-01-20,3,55.2,0.5924,2,31.5,0.7207
1980-01-21,3,82.6,0.5613,2,43.7,0.4873
1980-01-22,3,84.4,0.8126,3,75.3,0.7753
1980-01-23,3,74.2,1.0203,3,68.6,1.1947
1980-01-24,3,68.2,1.1084,3,63.8,1.3185
1980-01-25,3,63.5,0.8752,3,63.4,1.1069
1980-01-26,3,60.7,0.6533,3,70.8,0.9712
1980-01-27,3,88.3,0.5261,3,86.0,0.6045
1980-01-28,4,104.2,0.7312,4,106.2,1.0157
1980-01-29,4,107.7,0.8306,4,104.4,1.0826
1980-01-30,4,118.6,0.7665,4,107.6,0.7514
1980-01-31,6,182.5,0.3975,6,216.6,0.4288
1980-02-01,7,254.3,0.6582,7,242.0,1.2045
1980-02-02,8,279.3,0.7567,7,251.5,1.2159
1980-02-03,8,283.6,0.8586,7,263.1,1.1675
1980-02-04,7,246.4,0.8608,7,249.1,1.3477
1980-02-05,7,244.5,0.8351,7,250.5,1.5876
1980-02-06,7,261.8,0.8562,7,259.6,1.5498
1980-02-07,7,269.1,0.8385,7,265.3,1.3192
1980-02-08,7,262.6,0.9504,7,265.1,1.128
1980-02-09,7,269.1,1.0884,7,263.1,1.2911
1980-02-10,7,267.0,1.1464,7,259.5,1.3062
1980-02-11,7,267.3,1.27,7,255.4,1.296
1980-02-12,7,257.6,1.2737,7,252.8,1.2890000000000001
1980-02-13,7,263.8,1.2473,7,250.2,1.2557
1980-02-14,7,267.0,1.1311,7,264.5,1.2077
1980-02-15,7,266.5,0.9989,8,271.7,1.5392
1980-02-16,7,268.7,1.0017,8,279.5,1.7474
1980-02-17,8,281.2,1.0709,8,292.2,2.0753
1980-02-18,8,278.2,1.0633,8,295.8,1.8071
1980-02-19,8,283.1,1.0207,8,298.6,1.5848
1980-02-20,8,284.1,0.8031,8,296.4,1.4489
1980-02-21,8,280.9,0.6538,8,295.7,1.2582
1980-02-22,7,270.0,0.5559,8,285.4,1.1664
1980-02-23,7,256.8,0.3335,8,278.8,0.8279
1980-02-24,8,280.5,0.2448,8,303.8,0.6081
1980-02-25,1,340.4,0.4963,1,337.7,0.9381
1980-02-26,1,335.5,0.5119,1,332.9,0.7936
1980-02-27,1,350.9,0.3395,1,357.3,0.5257
1980-02-28,2,21.4,0.6496,2,31.3,0.6223
1980-02-29,2,7.9,0.6489,2,31.8,0.639
1980-03-01,1,337.1,0.7674,1,348.0,0.7749
1980-03-02,2,0.1,0.9586,1,354.2,0.6987
1980-03-03,2,11.6,1.0191,2,34.6,0.6162
1980-03-04,2,18.5,0.8723,3,48.4,0.6542
1980-03-05,2,43.6,0.8978,3,65.5,0.8743
1980-03-06,3,65.4,1.0195,3,77.1,1.1987
1980-03-07,3,85.7,1.0898,3,89.3,1.2191
1980-03-08,4,103.4,1.3538,4,105.6,1.7231
1980-03-09,4,115.1,1.5145,4,114.5,1.7764
1980-03-10,4,112.4,1.3194,4,111.4,1.9734
1980-03-11,4,129.7,0.9511,4,112.4,1.395
1980-03-12,5,157.1,0.8779,4,129.9,1.1017
1980-03-13,5,159.2,0.5501,4,132.3,0.8866
1980-03-14,5,166.4,0.5164,5,156.4,1.0214
1980-03-15,5,150.3,0.7482,5,161.6,1.0983
1980-03-16,5,169.6,0.665,5,177.7,0.9655
1980-03-17,6,214.4,0.7874,6,219.6,1.2355
1980-03-18,7,226.5,1.1585,7,243.0,1.3189
1980-03-19,7,226.1,1.4103,7,246.3,1.3049
1980-03-20,7,233.2,1.4962,7,239.5,1.2804
1980-03-21,7,233.7,1.5599,6,223.4,1.2623
1980-03-22,7,228.1,1.5586,6,211.4,1.3932
1980-03-23,6,220.6,1.6071,6,206.5,1.6166
1980-03-24,6,221.5,1.5997,6,210.1,1.4704
1980-03-25,7,232.3,1.837,6,222.3,1.7492
1980-03-26,7,241.1,2.0404,7,230.6,2.151
1980-03-27,7,247.5,2.1177,7,237.0,2.2921
1980-03-28,7,250.2,2.0411,7,234.7,2.1504
1980-03-29,7,258.6,2.226,7,245.1,1.9843
1980-03-30,8,277.1,2.5651,8,275.0,2.0651
1980-03-31,8,287.2,2.9645,8,285.5,2.3737
1980-04-01,8,292.4,2.4393,8,292.9,1.9797
1980-04-02,8,303.0,2.2477,8,303.5,1.8013
