,SESA_Avg_GPCP_Precip,MJOPhase_OLR,MJOAmplitude_OLR,SESA_Avg_ERA5_Soil_Moisture_Lev1,SESA_Avg_ERA5_Soil_Moisture_Lev2,Year,Month,Day,MJOPhase_OLR_lag5,MJOPhase_OLR_lag10,MJOPhase_OLR_lag15,MJOPhase_OLR_lag20,MJOPhase_OLR_lag25,MJOPhase_OLR_lag30,MJOAmplitude_OLR_lag5,MJOAmplitude_OLR_lag10,MJOAmplitude_OLR_lag15,MJOAmplitude_OLR_lag20,MJOAmplitude_OLR_lag25,MJOAmplitude_OLR_lag30,SESA_Avg_ERA5_Soil_Moisture_Lev1_lag5,SESA_Avg_ERA5_Soil_Moisture_Lev1_lag10,SESA_Avg_ERA5_Soil_Moisture_Lev1_lag15,SESA_Avg_ERA5_Soil_Moisture_Lev1_lag20,SESA_Avg_ERA5_Soil_Moisture_Lev1_lag25,SESA_Avg_ERA5_Soil_Moisture_Lev1_lag30,SESA_Avg_ERA5_Soil_Moisture_Lev2_lag5,SESA_Avg_ERA5_Soil_Moisture_Lev2_lag10,SESA_Avg_ERA5_Soil_Moisture_Lev2_lag15,SESA_Avg_ERA5_Soil_Moisture_Lev2_lag20,SESA_Avg_ERA5_Soil_Moisture_Lev2_lag25,SESA_Avg_ERA5_Soil_Moisture_Lev2_lag30
1996-10-01,0.8020935038673795,4,0.4059,0.46088803,0.4681496,1996,10,1,6.0,6.0,5.0,5.0,5.0,1.0,0.6244,1.3798,1.0795,1.8319,0.5766,0.108,0.49262083,0.391118,0.4321003,0.45861414,0.44931588,0.49375886,0.49150455,0.41223976,0.42957482,0.4695975,0.46100634,0.4897663
1996-10-02,1.569397592684254,3,0.4302,0.47787523,0.4787131,1996,10,2,5.0,6.0,5.0,5.0,5.0,5.0,0.0353,1.0692,1.2913,2.119,0.8674,0.0653,0.49229175,0.38430047,0.450946,0.44797358,0.43820378,0.47293913,0.49129355,0.4074367,0.4426329,0.46062636,0.45194194,0.47670373
1996-10-03,17.859299416990122,2,0.4495,0.49120334,0.49037477,1996,10,3,4.0,6.0,5.0,5.0,5.0,5.0,0.2783,0.9147,1.2725,2.2432,1.2157,0.2746,0.49614793,0.42567164,0.43510702,0.43627244,0.50119406,0.4906127,0.4938801,0.41325206,0.43834168,0.45167318,0.47837004,0.4763915
1996-10-04,20.841913155487013,2,0.3561,0.476827,0.48378742,1996,10,4,4.0,6.0,5.0,5.0,5.0,5.0,0.6957,0.8338,1.3071,1.8349,1.4513,0.2632,0.48456654,0.45785114,0.41910723,0.425025,0.48369768,0.47872788,0.48517594,0.41878498,0.430604,0.44240466,0.49191314,0.4842516
1996-10-05,15.586548693892029,1,0.5695,0.46441096,0.47244823,1996,10,5,4.0,6.0,5.0,5.0,5.0,5.0,0.6552,0.9839,1.4173,1.3773,1.6767,0.3715,0.4737721,0.49082917,0.4062611,0.4143556,0.4682325,0.46264297,0.47963604,0.48034585,0.42227852,0.43305776,0.4789594,0.47161672
1996-10-06,1.6356466182818015,1,0.7149,0.4758741,0.4772535,1996,10,6,4.0,6.0,6.0,5.0,5.0,5.0,0.4059,0.6244,1.3798,1.0795,1.8319,0.5766,0.46088803,0.49262083,0.391118,0.4321003,0.45861414,0.44931588,0.4681496,0.49150455,0.41223976,0.42957482,0.4695975,0.46100634
1996-10-07,20.576394287921076,1,1.0146,0.45632905,0.46663764,1996,10,7,3.0,5.0,6.0,5.0,5.0,5.0,0.4302,0.0353,1.0692,1.2913,2.119,0.8674,0.47787523,0.49229175,0.38430047,0.450946,0.44797358,0.43820378,0.4787131,0.49129355,0.4074367,0.4426329,0.46062636,0.45194194
1996-10-08,26.743523915608723,1,0.8661,0.43871662,0.4549858,1996,10,8,2.0,4.0,6.0,5.0,5.0,5.0,0.4495,0.2783,0.9147,1.2725,2.2432,1.2157,0.49120334,0.49614793,0.42567164,0.43510702,0.43627244,0.50119406,0.49037477,0.4938801,0.41325206,0.43834168,0.45167318,0.47837004
1996-10-09,32.6686560842726,8,0.6018,0.43050972,0.44524,1996,10,9,2.0,4.0,6.0,5.0,5.0,5.0,0.3561,0.6957,0.8338,1.3071,1.8349,1.4513,0.476827,0.48456654,0.45785114,0.41910723,0.425025,0.48369768,0.48378742,0.48517594,0.41878498,0.430604,0.44240466,0.49191314
1996-10-10,5.279041531237049,7,0.3421,0.48923624,0.4758342,1996,10,10,1.0,4.0,6.0,5.0,5.0,5.0,0.5695,0.6552,0.9839,1.4173,1.3773,1.6767,0.46441096,0.4737721,0.49082917,0.4062611,0.4143556,0.4682325,0.47244823,0.47963604,0.48034585,0.42227852,0.43305776,0.4789594
1996-10-11,0.5739261207765796,7,0.1631,0.4915631,0.4955544,1996,10,11,1.0,4.0,6.0,6.0,5.0,5.0,0.7149,0.4059,0.6244,1.3798,1.0795,1.8319,0.4758741,0.46088803,0.49262083,0.391118,0.4321003,0.45861414,0.4772535,0.4681496,0.49150455,0.41223976,0.42957482,0.4695975
1996-10-12,18.256447538733482,8,0.2239,0.49606758,0.5002652,1996,10,12,1.0,3.0,5.0,6.0,5.0,5.0,1.0146,0.4302,0.0353,1.0692,1.2913,2.119,0.45632905,0.47787523,0.49229175,0.38430047,0.450946,0.44797358,0.46663764,0.4787131,0.49129355,0.4074367,0.4426329,0.46062636
1996-10-13,8.168627695904839,8,0.3696,0.5004286,0.49978924,1996,10,13,1.0,2.0,4.0,6.0,5.0,5.0,0.8661,0.4495,0.2783,0.9147,1.2725,2.2432,0.43871662,0.49120334,0.49614793,0.42567164,0.43510702,0.43627244,0.4549858,0.49037477,0.4938801,0.41325206,0.43834168,0.45167318
1996-10-14,2.9077837835842124,8,0.5272,0.49602538,0.49376407,1996,10,14,8.0,2.0,4.0,6.0,5.0,5.0,0.6018,0.3561,0.6957,0.8338,1.3071,1.8349,0.43050972,0.476827,0.48456654,0.45785114,0.41910723,0.425025,0.44524,0.48378742,0.48517594,0.41878498,0.430604,0.44240466
1996-10-15,1.167915257702892,8,0.6452,0.4793497,0.48371133,1996,10,15,7.0,1.0,4.0,6.0,5.0,5.0,0.3421,0.5695,0.6552,0.9839,1.4173,1.3773,0.48923624,0.46441096,0.4737721,0.49082917,0.4062611,0.4143556,0.4758342,0.47244823,0.47963604,0.48034585,0.42227852,0.43305776
1996-10-16,17.057525787088608,1,0.747,0.4598017,0.46898383,1996,10,16,7.0,1.0,4.0,6.0,6.0,5.0,0.1631,0.7149,0.4059,0.6244,1.3798,1.0795,0.4915631,0.4758741,0.46088803,0.49262083,0.391118,0.4321003,0.4955544,0.4772535,0.4681496,0.49150455,0.41223976,0.42957482
1996-10-17,1.4768387283871158,1,0.5885,0.44087243,0.45634332,1996,10,17,8.0,1.0,3.0,5.0,6.0,5.0,0.2239,1.0146,0.4302,0.0353,1.0692,1.2913,0.49606758,0.45632905,0.47787523,0.49229175,0.38430047,0.450946,0.5002652,0.46663764,0.4787131,0.49129355,0.4074367,0.4426329
1996-10-18,1.964403925748128,2,0.5204,0.43519464,0.44761613,1996,10,18,8.0,1.0,2.0,4.0,6.0,5.0,0.3696,0.8661,0.4495,0.2783,0.9147,1.2725,0.5004286,0.43871662,0.49120334,0.49614793,0.42567164,0.43510702,0.49978924,0.4549858,0.49037477,0.4938801,0.41325206,0.43834168
