,BahiaBlanca_Rainfall,MJOPhase_OLR,MJOLongitude_OLR,MJOAmplitude_OLR,MJOPhase_Chi200,MJOLongitude_Chi200,MJOAmplitude_Chi200,ERA5_Soil_Moisture_Lev1,ERA5_Soil_Moisture_Lev2
1980-01-01,0.0,5,148.6,0.6049,5,175.4,0.5459,0.20938359,0.205773
1980-01-02,0.0,5,164.0,0.6069,6,187.0,0.7355,0.18162715,0.19842568
1980-01-03,0.0,5,176.0,0.5613,6,198.4,0.6891,0.17511746,0.19270693
1980-01-04,0.0,6,185.2,0.6842,6,191.3,0.7448,0.15001161,0.17946157
1980-01-05,18.0,6,199.9,0.8435,6,215.7,0.8425,0.19184488,0.17568547
1980-01-06,0.0,6,203.3,1.0925,6,220.6,1.1503,0.25166586,0.1822441
1980-01-07,0.0,6,198.4,1.0085,6,223.5,1.308,0.21374062,0.1820257
1980-01-08,0.0,6,191.3,0.6414,6,219.5,0.7656,0.17930526,0.17528911
1980-01-09,0.0,6,195.2,0.4999,7,246.4,0.8656,0.15298532,0.1675104
1980-01-10,0.0,6,188.4,0.47,7,250.2,0.8477,0.13673346,0.16129419
1980-01-11,0.0,6,201.6,0.3725,7,269.5,0.809,0.127306,0.15779714
1980-01-12,,7,268.8,0.1387,8,281.6,0.8336,0.12756337,0.15528962
1980-01-13,0.0,2,21.4,0.1655,8,308.7,0.6566,0.13622151,0.1547342
1980-01-14,,1,358.1,0.603,1,323.9,1.0868,0.12992163,0.15267156
1980-01-15,0.0,2,12.8,0.8311,1,340.0,0.9501,0.12297832,0.14825508
1980-01-16,0.0,2,22.1,1.0754,1,356.5,1.0764,0.12381756,0.14055592
1980-01-17,0.0,2,27.2,1.2639,2,6.5,1.297,0.13824688,0.13771406
1980-01-18,0.0,2,23.5,1.1226,2,5.6,1.2182,0.19534172,0.14198628
1980-01-19,0.0,2,17.9,0.8344,2,11.1,0.9057,0.23406982,0.14760125
1980-01-20,0.0,3,55.2,0.5924,2,31.5,0.7207,0.19354016,0.14690426
1980-01-21,0.0,3,82.6,0.5613,2,43.7,0.4873,0.16349679,0.14591743
1980-01-22,0.0,3,84.4,0.8126,3,75.3,0.7753,0.1393323,0.14271428
1980-01-23,0.0,3,74.2,1.0203,3,68.6,1.1947,0.13067135,0.14068401
1980-01-24,0.0,3,68.2,1.1084,3,63.8,1.3185,0.13096929,0.14191619
1980-01-25,0.0,3,63.5,0.8752,3,63.4,1.1069,0.12624016,0.14142682
1980-01-26,0.0,3,60.7,0.6533,3,70.8,0.9712,0.13036783,0.14456122
1980-01-27,0.0,3,88.3,0.5261,3,86.0,0.6045,0.12702206,0.14354338
1980-01-28,0.0,4,104.2,0.7312,4,106.2,1.0157,0.121480286,0.14102103
1980-01-29,0.0,4,107.7,0.8306,4,104.4,1.0826,0.11655954,0.13858496
1980-01-30,0.0,4,118.6,0.7665,4,107.6,0.7514,0.12582195,0.13565683
1980-01-31,0.0,6,182.5,0.3975,6,216.6,0.4288,0.15242302,0.13435048
1980-02-01,0.0,7,254.3,0.6582,7,242.0,1.2045,0.141878,0.13435183
1980-02-02,1.0,8,279.3,0.7567,7,251.5,1.2159,0.13937286,0.1298747
1980-02-03,3.0,8,283.6,0.8586,7,263.1,1.1675,0.16446051,0.13540338
1980-02-04,0.0,7,246.4,0.8608,7,249.1,1.3477,0.14689524,0.13228786
1980-02-05,0.0,7,244.5,0.8351,7,250.5,1.5876,0.13964002,0.13349578
1980-02-06,1.0,7,261.8,0.8562,7,259.6,1.5498,0.13330656,0.13649401
1980-02-07,0.0,7,269.1,0.8385,7,265.3,1.3192,0.1326128,0.13764398
1980-02-08,0.0,7,262.6,0.9504,7,265.1,1.128,0.12618843,0.13510679
1980-02-09,,7,269.1,1.0884,7,263.1,1.2911,0.12618561,0.13402155
1980-02-10,0.0,7,267.0,1.1464,7,259.5,1.3062,0.13561866,0.13252378
1980-02-11,0.0,7,267.3,1.27,7,255.4,1.296,0.13012445,0.1320034
1980-02-12,2.0,7,257.6,1.2737,7,252.8,1.289,0.1713213,0.13174051
1980-02-13,0.0,7,263.8,1.2473,7,250.2,1.2557,0.1557758,0.13300101
