,AR_PRCP,AR_TMAX,AR_TMIN,MJOPhase_OLR,MJOAmplitude_OLR,AR_ERA5_Soil_Moisture_Lev1,AR_ERA5_Soil_Moisture_Lev2,MJOPhase_OLR_lag5,MJOPhase_OLR_lag10,MJOPhase_OLR_lag15,MJOPhase_OLR_lag20,MJOPhase_OLR_lag25,MJOPhase_OLR_lag30,MJOAmplitude_OLR_lag5,MJOAmplitude_OLR_lag10,MJOAmplitude_OLR_lag15,MJOAmplitude_OLR_lag20,MJOAmplitude_OLR_lag25,MJOAmplitude_OLR_lag30,AR_ERA5_Soil_Moisture_Lev1_lag5,AR_ERA5_Soil_Moisture_Lev1_lag10,AR_ERA5_Soil_Moisture_Lev1_lag15,AR_ERA5_Soil_Moisture_Lev1_lag20,AR_ERA5_Soil_Moisture_Lev1_lag25,AR_ERA5_Soil_Moisture_Lev1_lag30,AR_ERA5_Soil_Moisture_Lev2_lag5,AR_ERA5_Soil_Moisture_Lev2_lag10,AR_ERA5_Soil_Moisture_Lev2_lag15,AR_ERA5_Soil_Moisture_Lev2_lag20,AR_ERA5_Soil_Moisture_Lev2_lag25,AR_ERA5_Soil_Moisture_Lev2_lag30
1980-01-01,0.0,30.8,11.2,5,0.6049,0.20938359,0.205773,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-02,0.0,28.4,19.9,5,0.6069,0.18162715,0.19842568,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-03,0.0,27.4,10.8,5,0.5613,0.17511746,0.19270693,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-04,0.0,32.8,17.3,6,0.6842,0.15001161,0.17946157,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-05,18.0,28.2,17.3,6,0.8435,0.19184488,0.17568547,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-06,0.0,32.5,18.4,6,1.0925,0.25166586,0.1822441,5.0,,,,,,0.6049,,,,,,0.20938359,,,,,,0.205773,,,,,
1980-01-07,0.0,31.6,13.4,6,1.0085,0.21374062,0.1820257,5.0,,,,,,0.6069,,,,,,0.18162715,,,,,,0.19842568,,,,,
1980-01-08,0.0,33.5,14.3,6,0.6414,0.17930526,0.17528911,5.0,,,,,,0.5613,,,,,,0.17511746,,,,,,0.19270693,,,,,
1980-01-09,0.0,31.3,18.0,6,0.4999,0.15298532,0.1675104,6.0,,,,,,0.6842,,,,,,0.15001161,,,,,,0.17946157,,,,,
1980-01-10,0.0,32.4,14.7,6,0.47,0.13673346,0.16129419,6.0,,,,,,0.8435,,,,,,0.19184488,,,,,,0.17568547,,,,,
1980-01-11,0.0,36.4,16.8,6,0.3725,0.127306,0.15779714,6.0,5.0,,,,,1.0925,0.6049,,,,,0.25166586,0.20938359,,,,,0.1822441,0.205773,,,,
1980-01-12,,35.5,23.4,7,0.1387,0.12756337,0.15528962,6.0,5.0,,,,,1.0085,0.6069,,,,,0.21374062,0.18162715,,,,,0.1820257,0.19842568,,,,
1980-01-13,0.0,37.5,24.2,2,0.1655,0.13622151,0.1547342,6.0,5.0,,,,,0.6414,0.5613,,,,,0.17930526,0.17511746,,,,,0.17528911,0.19270693,,,,
1980-01-14,,36.6,21.2,1,0.603,0.12992163,0.15267156,6.0,6.0,,,,,0.4999,0.6842,,,,,0.15298532,0.15001161,,,,,0.1675104,0.17946157,,,,
1980-01-15,0.0,35.4,19.4,2,0.8311,0.12297832,0.14825508,6.0,6.0,,,,,0.47,0.8435,,,,,0.13673346,0.19184488,,,,,0.16129419,0.17568547,,,,
1980-01-16,0.0,35.7,20.4,2,1.0754,0.12381756,0.14055592,6.0,6.0,5.0,,,,0.3725,1.0925,0.6049,,,,0.127306,0.25166586,0.20938359,,,,0.15779714,0.1822441,0.205773,,,
1980-01-17,0.0,32.0,18.8,2,1.2639,0.13824688,0.13771406,7.0,6.0,5.0,,,,0.1387,1.0085,0.6069,,,,0.12756337,0.21374062,0.18162715,,,,0.15528962,0.1820257,0.19842568,,,
