,UR_PRCP,UR_TMAX,UR_TMIN,MJOPhase_OLR,MJOAmplitude_OLR,UR_ERA5_Soil_Moisture_Lev1,UR_ERA5_Soil_Moisture_Lev2,MJOPhase_OLR_lag5,MJOPhase_OLR_lag10,MJOPhase_OLR_lag15,MJOPhase_OLR_lag20,MJOPhase_OLR_lag25,MJOPhase_OLR_lag30,MJOAmplitude_OLR_lag5,MJOAmplitude_OLR_lag10,MJOAmplitude_OLR_lag15,MJOAmplitude_OLR_lag20,MJOAmplitude_OLR_lag25,MJOAmplitude_OLR_lag30,UR_ERA5_Soil_Moisture_Lev1_lag5,UR_ERA5_Soil_Moisture_Lev1_lag10,UR_ERA5_Soil_Moisture_Lev1_lag15,UR_ERA5_Soil_Moisture_Lev1_lag20,UR_ERA5_Soil_Moisture_Lev1_lag25,UR_ERA5_Soil_Moisture_Lev1_lag30,UR_ERA5_Soil_Moisture_Lev2_lag5,UR_ERA5_Soil_Moisture_Lev2_lag10,UR_ERA5_Soil_Moisture_Lev2_lag15,UR_ERA5_Soil_Moisture_Lev2_lag20,UR_ERA5_Soil_Moisture_Lev2_lag25,UR_ERA5_Soil_Moisture_Lev2_lag30
1980-01-01,,,,5,0.6049,0.28841949,0.28215852,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-02,,,,5,0.6069,0.26694608,0.27391252,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-03,,,,5,0.5613,0.2497426,0.26507264,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-04,,,,6,0.6842,0.23628736,0.2560584,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-05,,,,6,0.8435,0.22986639,0.25191835,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-06,,,,6,1.0925,0.37838015,0.2547487,5.0,,,,,,0.6049,,,,,,0.28841949,,,,,,0.28215852,,,,,
1980-01-07,,,,6,1.0085,0.37878427,0.26086918,5.0,,,,,,0.6069,,,,,,0.26694608,,,,,,0.27391252,,,,,
1980-01-08,,,,6,0.6414,0.34904873,0.25904244,5.0,,,,,,0.5613,,,,,,0.2497426,,,,,,0.26507264,,,,,
1980-01-09,,,,6,0.4999,0.3657474,0.2638983,6.0,,,,,,0.6842,,,,,,0.23628736,,,,,,0.2560584,,,,,
1980-01-10,,,,6,0.47,0.3107902,0.2580132,6.0,,,,,,0.8435,,,,,,0.22986639,,,,,,0.25191835,,,,,
1980-01-11,,,,6,0.3725,0.27835485,0.25735104,6.0,5.0,,,,,1.0925,0.6049,,,,,0.37838015,0.28841949,,,,,0.2547487,0.28215852,,,,
1980-01-12,,,,7,0.1387,0.26140702,0.25584745,6.0,5.0,,,,,1.0085,0.6069,,,,,0.37878427,0.26694608,,,,,0.26086918,0.27391252,,,,
1980-01-13,,,,2,0.1655,0.24780455,0.25259635,6.0,5.0,,,,,0.6414,0.5613,,,,,0.34904873,0.2497426,,,,,0.25904244,0.26507264,,,,
1980-01-14,,,,1,0.603,0.24180323,0.25269634,6.0,6.0,,,,,0.4999,0.6842,,,,,0.3657474,0.23628736,,,,,0.2638983,0.2560584,,,,
1980-01-15,0.0,32.0,17.0,2,0.8311,0.24015312,0.25415605,6.0,6.0,,,,,0.47,0.8435,,,,,0.3107902,0.22986639,,,,,0.2580132,0.25191835,,,,
1980-01-16,,,,2,1.0754,0.23601621,0.25170615,6.0,6.0,5.0,,,,0.3725,1.0925,0.6049,,,,0.27835485,0.37838015,0.28841949,,,,0.25735104,0.2547487,0.28215852,,,
1980-01-17,,,,2,1.2639,0.23720151,0.25243783,7.0,6.0,5.0,,,,0.1387,1.0085,0.6069,,,,0.26140702,0.37878427,0.26694608,,,,0.25584745,0.26086918,0.27391252,,,
1980-01-18,,,,2,1.1226,0.2327444,0.25031233,2.0,6.0,5.0,,,,0.1655,0.6414,0.5613,,,,0.24780455,0.34904873,0.2497426,,,,0.25259635,0.25904244,0.26507264,,,
1980-01-19,,,,2,0.8344,0.26068136,0.2490136,1.0,6.0,6.0,,,,0.603,0.4999,0.6842,,,,0.24180323,0.3657474,0.23628736,,,,0.25269634,0.2638983,0.2560584,,,
1980-01-20,,,,3,0.5924,0.25786144,0.2546938,2.0,6.0,6.0,,,,0.8311,0.47,0.8435,,,,0.24015312,0.3107902,0.22986639,,,,0.25415605,0.2580132,0.25191835,,,
1980-01-21,,,,3,0.5613,0.24783167,0.2529756,2.0,6.0,6.0,5.0,,,1.0754,0.3725,1.0925,0.6049,,,0.23601621,0.27835485,0.37838015,0.28841949,,,0.25170615,0.25735104,0.2547487,0.28215852,,
1980-01-22,,,,3,0.8126,0.23709564,0.24832216,2.0,7.0,6.0,5.0,,,1.2639,0.1387,1.0085,0.6069,,,0.23720151,0.26140702,0.37878427,0.26694608,,,0.25243783,0.25584745,0.26086918,0.27391252,,
1980-01-23,,,,3,1.0203,0.22691867,0.24122734,2.0,2.0,6.0,5.0,,,1.1226,0.1655,0.6414,0.5613,,,0.2327444,0.24780455,0.34904873,0.2497426,,,0.25031233,0.25259635,0.25904244,0.26507264,,
1980-01-24,0.0,35.0,18.0,3,1.1084,0.43855622,0.2499794,2.0,1.0,6.0,6.0,,,0.8344,0.603,0.4999,0.6842,,,0.26068136,0.24180323,0.3657474,0.23628736,,,0.2490136,0.25269634,0.2638983,0.2560584,,
